Accession Number,Transcript Id,FPKM Value
NW_006431956.1,10447,13.28
NW_006431956.1,10448,0.0
NW_006431956.1,10449,9.2
NW_006429782.1,1045,3.29
NW_006431956.1,10450,4.03
NW_006431956.1,10451,13.49
NW_006431956.1,10452,3.09
NW_006431956.1,10453,10.59
NW_006431956.1,10454,2.44
NW_006431956.1,10455,22.28
NW_006431956.1,10456,1.54
NW_006431956.1,10457,5.61
NW_006431956.1,10458,5.25
NW_006431956.1,10459,6.8
NW_006429782.1,1046,5.24
NW_006431956.1,10460,2.09
NW_006431956.1,10461,12.6
NW_006431956.1,10462,2729.92
NW_006431956.1,10463,14.46
NW_006431956.1,10464,8.86
NW_006431956.1,10465,8.16
NW_006431956.1,10466,13.01
NW_006431956.1,10467,10.86
NW_006431956.1,10468,39.38
NW_006431956.1,10469,0.0
NW_006429782.1,1047,0.92
NW_006431956.1,10470,10.26
NW_006431956.1,10471,3.8
NW_006431956.1,10472,0.89
NW_006431956.1,10473,1.43
NW_006431956.1,10474,0.4
NW_006431956.1,10475,1.8
NW_006431956.1,10476,5.89
NW_006431956.1,10477,9.15
NW_006431956.1,10478,0.0
NW_006431956.1,10479,1.54
NW_006429782.1,1048,23.66
NW_006431956.1,10480,22.71
NW_006431956.1,10481,1.62
NW_006431956.1,10482,9.95
NW_006431956.1,10483,22.41
NW_006431956.1,10484,3.58
NW_006431956.1,10485,1.85
NW_006431956.1,10486,2.48
NW_006431956.1,10487,3.86
NW_006431956.1,10488,4.03
NW_006431956.1,10489,2.28
NW_006429782.1,1049,3.93
NW_006431956.1,10490,10.14
NW_006431956.1,10491,0.0
NW_006431956.1,10492,10.19
NW_006431956.1,10493,1.49
NW_006431956.1,10494,7.13
NW_006431956.1,10495,4.69
NW_006431956.1,10496,3.05
NW_006431956.1,10497,1.03
NW_006431956.1,10498,9.49
NW_006431956.1,10499,9.38
NW_006429596.1,105,2.57
NW_006429782.1,1050,3.11
NW_006431956.1,10500,0.0
NW_006431956.1,10501,8.77
NW_006431956.1,10502,0.0
NW_006431956.1,10503,0.0
NW_006431956.1,10504,5.78
NW_006431956.1,10505,15.25
NW_006431956.1,10506,2.37
NW_006431956.1,10507,70.89
NW_006431956.1,10508,5.14
NW_006432008.1,10509,2.08
NW_006429782.1,1051,3.73
NW_006432008.1,10510,3.63
NW_006432008.1,10511,4.47
NW_006432008.1,10512,2.22
NW_006432008.1,10513,15.08
NW_006432008.1,10514,8.73
NW_006432008.1,10515,4.73
NW_006432008.1,10516,10.51
NW_006432008.1,10517,4.02
NW_006432008.1,10518,15.18
NW_006432008.1,10519,5.5
NW_006429782.1,1052,6.17
NW_006432008.1,10520,148.93
NW_006432078.1,10521,7.42
NW_006432095.1,10522,12.65
NW_006432224.1,10523,12.3
NW_006432224.1,10524,48.54
NW_006432224.1,10525,1.82
NW_006432224.1,10526,4.26
NW_006432224.1,10527,1.55
NW_006432224.1,10528,9.62
NW_006432224.1,10529,2.82
NW_006429782.1,1053,5.17
NW_006432224.1,10530,2.96
NW_006432224.1,10531,0.0
NW_006432224.1,10532,4.11
NW_006432224.1,10533,0.0
NW_006432224.1,10534,8.11
NW_006432224.1,10535,0.72
NW_006432224.1,10536,1.78
NW_006432224.1,10537,2.5
NW_006432224.1,10538,1.26
NW_006432224.1,10539,1.07
NW_006429782.1,1054,5.3
NW_006432224.1,10540,4.33
NW_006432224.1,10541,0.0
NW_006432224.1,10542,5.2
NW_006432224.1,10543,2.96
NW_006432224.1,10544,9.25
NW_006432224.1,10545,8.6
NW_006432224.1,10546,4.65
NW_006432224.1,10547,11.97
NW_006432224.1,10548,7.17
NW_006432224.1,10549,3.49
NW_006429782.1,1055,3.9
NW_006432224.1,10550,2.64
NW_006432224.1,10551,3.43
NW_006432224.1,10552,27.15
NW_006432224.1,10553,5.2
NW_006432224.1,10554,138.94
NW_006432224.1,10555,0.52
NW_006494592.1,10556,0.8
