Accession,FPKM
XM_006906976.2,4.66
XM_006906976.2,4.31
XM_006906976.2,3.53
XM_006906976.2,2.01
,,,
,,,
XM_006906978.2,5.28
XM_006906978.2,3.13
XM_015600034.1,0.0
XM_006906978.2,1.24
,,,
,,,
,,,
,,,
XM_015585602.1,1.42
XM_006906980.2,3.55
,,,
,,,
XM_015585632.1,12.09
,,,
,,,
XM_015585675.1,29.27
XM_015585675.1,30.26
,,,
,,,
XM_006906984.2,10.82
XM_006906984.2,4.68
,,,
,,,
,,,
,,,
XM_006906988.2,7.95
,,,
,,,
,,,
XM_006906988.2,5.67
,,,
,,,
XM_006906989.2,11.12
,,,
,,,
,,,
,,,
XM_006906997.2,2.35
XM_015585651.1,6.25
XM_006906997.2,6.02
XM_006906997.2,9.5
,,,
,,,
,,,
,,,
,,,
XM_015585598.1,2.75
,,,
XM_015585598.1,7.75
XM_015585598.1,1.77
XM_015585598.1,3.9
XM_015585598.1,6.64
XM_015585598.1,8.18
XM_015585598.1,3.69
XM_015585598.1,1.51
XM_015585598.1,3.26
,,,
XM_006907056.2,6.87
,,,
XM_006907056.2,6.45
,,,
,,,
XM_015585662.1,0.0
,,,
,,,
,,,
XM_006907005.2,20.87
XM_006907008.2,20.98
,,,
,,,
,,,
XM_015585600.1,6.95
XM_015585600.1,5.59
XM_015585623.1,0.0
,,,
,,,
XM_015585621.1,4.78
XM_015585626.1,4.0
XM_015585621.1,2.97
XM_015585621.1,9.51
,,,
XM_015585621.1,6.81
XM_015585621.1,6.15
XM_015585642.1,12.38
XM_015585642.1,20.78
XM_015585642.1,21.15
XM_015585642.1,0.0
XM_015585604.1,3.88
XM_015585581.1,5.2
XM_015585581.1,7.1
XM_015585581.1,6.25
,,,
XM_015585581.1,5.94
XM_015585581.1,4.61
,,,
XM_006907016.2,0.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"100.00
",4.51
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906957.2,6.1
XM_006907040.2,8.5
XM_006906998.2,0.0
,,,
XM_015585581.1,3.24
XM_006906981.2,0.0
XM_006907056.2,4.7
,,,
,,,
,,,
XM_006906938.2,21.18
XM_006906938.2,11.98
XM_006906940.2,28.23
XM_006906942.2,5.11
XM_006906944.2,1.21
XM_006906944.2,7.35
XM_006906942.2,0.73
XM_015585612.1,14.4
XM_006906947.2,16.89
XM_006906947.2,0.9
,,,
XM_015585633.1,19.09
XM_006906947.2,15.3
XM_015585633.1,2.18
XM_006906947.2,1.45
XM_006906950.2,45.7
XM_006906950.2,0.0
XM_006906952.2,4.25
XM_006906952.2,7.69
XM_006906952.2,4.93
XM_006906956.2,1.68
XM_015587804.1,2.96
,,,
XM_006906956.2,4.39
XM_006906956.2,211.62
XM_006906956.2,1.53
,,,
XM_006906957.2,4.61
XM_006906957.2,9.8
,,,
XM_015585593.1,4.5
XM_006906959.2,9.4
XM_015585583.1,5.79
,,,
XR_001516433.1,3.11
XR_001516433.1,0.75
XR_001516432.1,2.22
XM_015585616.1,5.8
XM_015585616.1,7.03
XM_006906963.2,5.05
XM_015585628.1,1.89
XM_015585627.1,6.07
XM_006906966.2,48.18
