Accession,FPKM
XM_006907245.2,11.36
XM_015585797.1,3.59
XM_006907245.2,1.69
XM_006907245.2,13.62
XM_006926989.2,1.88
XM_006926989.2,4.07
XM_006926989.2,3.21
XM_006907255.2,31.07
XM_006907255.2,28.14
XM_006907256.2,4.75
XM_006904060.2,3.53
XM_006907256.2,4.13
XM_006907260.2,3.46
XM_006907260.2,1.38
XM_006907260.2,0.0
XM_015585789.1,9.27
XM_015585791.1,6.12
XM_015585789.1,0.6
XM_015585789.1,0.53
XM_015585788.1,0.0
XM_015585788.1,3.94
,,,
XM_006907267.2,6.48
XM_006907267.2,5.45
XM_015585768.1,0.0
XM_006907273.2,7.49
XM_006907274.2,0.64
XM_006907274.2,0.88
XM_006907273.2,4.09
XM_006907276.1,17.55
XM_015585817.1,11.08
XM_015585765.1,0.0
,,,
XM_015585754.1,3.22
XM_006907260.2,0.0
XM_006907174.1,71.27
XM_006907264.2,7.75
XM_006907166.2,6.75
XM_006907166.2,5.74
XM_006907167.2,59.94
XM_006907167.2,6.12
XM_006907175.2,4.87
XM_006907175.2,3.03
XM_015585692.1,6.86
XM_006907175.2,12.6
XM_006907175.2,3.42
XM_015585808.1,1.61
XM_006907175.2,2.53
XM_006907177.2,18.97
XM_006907181.2,5.55
XM_006907181.2,6.97
XM_015585841.1,10.25
XM_006907191.2,2.2
XM_015585840.1,9.49
XM_015585692.1,6.0
XM_015585758.1,1.13
XM_006907193.2,70.11
XM_006907283.2,10.0
XM_006907283.2,10.85
XM_006907199.2,12.39
XM_015585825.1,8.78
XM_015585825.1,5.95
XM_006907198.2,2.36
XM_006907204.2,15.79
XM_015585823.1,12.72
XM_015585692.1,5.15
XM_015585821.1,1.03
XM_015585821.1,2.62
XM_015585821.1,2.72
XM_015585821.1,0.0
XM_006907218.2,13.61
XM_006907218.2,2.35
XM_006907218.2,16.45
XM_006907217.2,9.97
XM_006907218.2,1.24
